student_id,spaceshooter_chose_best_EV_proportion,spaceshooter_score,dospert_score,holt_laury_n_risky_choices,holt_laury_choice_0,holt_laury_choice_1,holt_laury_choice_2,holt_laury_choice_3,holt_laury_choice_4,holt_laury_choice_5,holt_laury_choice_6,holt_laury_choice_7,holt_laury_choice_8,holt_laury_choice_9,dospert_q0,dospert_q1,dospert_q2,dospert_q3,dospert_q4,dospert_q5,dospert_q6,dospert_q7,dospert_q8,dospert_q9,dospert_q10,dospert_q11,dospert_q12,dospert_q13,dospert_q14,dospert_q15,dospert_q16,dospert_q17,dospert_q18,dospert_q19,dospert_q20,dospert_q21,dospert_q22,dospert_q23,dospert_q24,dospert_q25,dospert_q26,dospert_q27,dospert_q28,dospert_q29
DMUU037,0.71,42414.0,147,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4,7,1,7,5,5,6,2,1,2,5,5,7,2,4,2,6,7,7,7,3,6,6,7,4,7,7,7,5,3
DMUU615,0.73,56117.0,96,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2,2,5,4,5,6,5,2,1,4,3,4,2,1,2,1,1,1,3,3,1,7,2,2,1,7,6,1,6
DMUU905,0.72,60491.0,156,8.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6,7,5,5,4,5,7,7,7,3,7,7,6,3,7,1,1,7,5,1,2,7,7,4,6,7,7,7,1,7
DMUU054,0.73,58869.0,143,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,7,1,7,6,5,6,2,4,1,7,5,5,3,2,1,4,6,7,2,6,2,7,7,7,7,7,7,4,2
DMUU214,0.84,63484.0,95,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7,6,3,5,5,3,4,1,1,1,5,2,2,2,1,1,2,4,6,1,3,4,2,6,6,2,4,2,1,3
DMUU096,0.73,62438.0,88,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2,1,6,5,1,3,2,1,1,5,2,4,2,6,4,1,4,1,1,5,4,2,3,1,1,6,5,2,1
DMUU582,0.47,42746.0,138,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5,7,4,5,1,4,6,2,1,2,3,4,4,5,4,5,3,5,7,6,7,5,6,7,5,6,7,7,4,1
DMUU503,0.76,56283.0,106,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1,5,6,6,4,6,5,1,1,5,1,5,3,1,1,1,2,3,5,4,3,7,2,2,1,7,5,1,7
DMUU763,0.72,62161.0,137,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,4,5,4,7,4,3,7,7,1,6,5,5,4,7,4,1,6,5,1,7,4,7,6,6,1,7,4,1,1
DMUU690,0.72,67401.0,90,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5,2,1,5,2,1,6,1,5,5,5,5,4,1,1,2,1,5,3,1,3,2,1,2,4,3,6,6,1,1
DMUU825,0.71,58110.0,140,7.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5,5,6,1,6,2,5,5,4,5,5,5,4,7,1,5,5,5,6,6,5,6,6,6,3,2,4,5,5
DMUU067,0.58,51306.0,91,7.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,1,1,5,1,1,5,1,4,1,1,6,1,1,4,1,1,5,1,1,7,7,1,1,1,7,7,7,3,1
DMUU771,0.8,60724.0,115,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4,6,2,6,2,2,4,5,4,1,2,5,4,5,1,1,2,5,4,1,7,5,7,1,3,7,7,7,4,1
DMUU318,0.67,58707.0,85,7.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,5,1,5,7,1,2,1,5,1,2,1,4,1,7,5,1,1,1,2,3,3,1,2,5,1,7,2,1,1
DMUU372,0.6,50775.0,100,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6,4,2,5,1,1,4,1,1,1,5,4,5,2,4,2,2,6,4,2,4,5,3,3,4,3,7,7,1,1
DMUU733,0.26,31352.0,106,,,,,,,,,,,,7,7,1,1,1,4,5,1,1,1,5,1,5,1,7,1,2,6,5,2,5,7,2,5,5,3,7,6,1,1
